Epoch 1, Training Loss: 1955.270263671875, Validation Loss: 1889.8556722005208
Epoch 64, Training Loss: 364.9191589355469, Validation Loss: 324.9076334635417
Epoch 65, Training Loss: 425.3058776855469, Validation Loss: 317.33606974283856
Epoch 66, Training Loss: 330.0894775390625, Validation Loss: 310.30882771809894
Epoch 67, Training Loss: 312.0297546386719, Validation Loss: 303.0449523925781
Epoch 68, Training Loss: 349.5802307128906, Validation Loss: 295.99461873372394
Epoch 69, Training Loss: 204.4066619873047, Validation Loss: 289.67542521158856
Epoch 70, Training Loss: 346.6335754394531, Validation Loss: 283.3865152994792
Epoch 71, Training Loss: 226.14739990234375, Validation Loss: 364.0222574869792
EarlyStopping counter: 1 out of 2
Epoch 72, Training Loss: 233.53704833984375, Validation Loss: 271.9078826904297
Epoch 73, Training Loss: 252.91778564453125, Validation Loss: 265.6174774169922
Epoch 74, Training Loss: 225.84133911132812, Validation Loss: 260.75364176432294
Epoch 75, Training Loss: 246.77342224121094, Validation Loss: 255.72672017415366
Epoch 76, Training Loss: 210.2030487060547, Validation Loss: 250.20502217610678
Epoch 77, Training Loss: 281.04486083984375, Validation Loss: 245.14598592122397
Epoch 78, Training Loss: 172.38616943359375, Validation Loss: 240.57652791341147
Epoch 79, Training Loss: 186.458740234375, Validation Loss: 236.4026641845703
Epoch 80, Training Loss: 162.20176696777344, Validation Loss: 232.08731079101562
Epoch 81, Training Loss: 272.9389953613281, Validation Loss: 227.98936971028647
Epoch 82, Training Loss: 170.12008666992188, Validation Loss: 224.2487030029297
Epoch 83, Training Loss: 240.81564331054688, Validation Loss: 220.5411173502604
Epoch 84, Training Loss: 168.6870880126953, Validation Loss: 217.3772939046224
Epoch 85, Training Loss: 266.97589111328125, Validation Loss: 213.9489288330078
Epoch 86, Training Loss: 160.818359375, Validation Loss: 210.64840189615884
Epoch 87, Training Loss: 203.97210693359375, Validation Loss: 207.28166707356772
Epoch 88, Training Loss: 156.38682556152344, Validation Loss: 204.69541931152344
Epoch 89, Training Loss: 160.96014404296875, Validation Loss: 201.39729817708334
Epoch 90, Training Loss: 136.80908203125, Validation Loss: 199.03263346354166
Epoch 91, Training Loss: 183.17086791992188, Validation Loss: 195.6794687906901
Epoch 92, Training Loss: 169.26544189453125, Validation Loss: 194.37195841471353
Epoch 93, Training Loss: 212.2957305908203, Validation Loss: 191.94093322753906
Epoch 94, Training Loss: 159.7413787841797, Validation Loss: 189.20368448893228
Epoch 95, Training Loss: 240.85044860839844, Validation Loss: 187.48023986816406
Epoch 96, Training Loss: 184.4911346435547, Validation Loss: 185.28082784016928
Epoch 97, Training Loss: 148.9771270751953, Validation Loss: 182.86480712890625
Epoch 98, Training Loss: 192.4462890625, Validation Loss: 181.6806640625
Epoch 99, Training Loss: 238.6887969970703, Validation Loss: 179.5880126953125
Epoch 100, Training Loss: 149.1693878173828, Validation Loss: 177.79040018717447
Epoch 101, Training Loss: 134.00816345214844, Validation Loss: 175.80931091308594
Epoch 102, Training Loss: 164.482421875, Validation Loss: 174.93411254882812
Epoch 103, Training Loss: 184.51156616210938, Validation Loss: 173.39297993977866
Epoch 104, Training Loss: 200.39541625976562, Validation Loss: 171.94171651204428
Epoch 105, Training Loss: 212.77919006347656, Validation Loss: 170.4999745686849
Epoch 106, Training Loss: 166.99217224121094, Validation Loss: 168.9561971028646
Epoch 107, Training Loss: 143.12652587890625, Validation Loss: 167.69338989257812
Epoch 108, Training Loss: 144.98709106445312, Validation Loss: 166.90960184733072
Epoch 109, Training Loss: 221.7158966064453, Validation Loss: 165.44849650065103
Epoch 110, Training Loss: 154.40298461914062, Validation Loss: 164.47652180989584
Epoch 111, Training Loss: 153.63189697265625, Validation Loss: 163.72498575846353
Epoch 112, Training Loss: 136.26197814941406, Validation Loss: 162.50706990559897
Epoch 113, Training Loss: 153.88197326660156, Validation Loss: 161.64315287272134
Epoch 114, Training Loss: 172.61431884765625, Validation Loss: 161.30960591634116
Epoch 115, Training Loss: 243.32827758789062, Validation Loss: 160.80184936523438
Epoch 116, Training Loss: 228.47694396972656, Validation Loss: 160.61246744791666
Epoch 117, Training Loss: 104.54888153076172, Validation Loss: 159.05879720052084
Epoch 118, Training Loss: 92.90743255615234, Validation Loss: 157.75960286458334
Epoch 119, Training Loss: 154.13516235351562, Validation Loss: 156.8371785481771
Epoch 120, Training Loss: 128.39248657226562, Validation Loss: 156.39380900065103
Test Loss (MSE): 181.3334197998047
Root Mean Squared Error (RMSE): 13.46601
Mean Absolute Error (MAE): 11.446735
R^2 Score: 0.0004143630453643521

[Done] exited with code=0 in 57844.083 seconds
