TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
Auburn,SEC,34,21,113.1,94.9,0.8829,49.5,45.7,17.7,18.9,32.8,32.4,36.3,38.9,50.7,47,31.5,28.8,67.6,1.1,R32,9
West Virginia,B12,34,19,117.2,97.5,0.8933,51.5,50.9,18.5,20.9,34,29.3,39.4,38.7,50.9,50.8,35,34,68.4,1.5,R64,9
Illinois,B10,33,20,108.9,95.4,0.8216,51.4,46.7,18.4,18.5,31.6,26.7,34.3,30.1,55.1,45.1,30.8,33.4,69.8,0.9,R64,9
Penn St.,B10,37,23,117.5,100.7,0.8547,55.4,49.1,13.7,13.1,19.2,25.6,21.3,25.5,53.1,49.2,38.7,32.7,64.3,1.3,R32,10
USC,P12,33,22,111.8,97.4,0.8298,51.2,45.4,18.1,17.9,28.8,32.7,33.2,30.2,51,42.7,34.5,33.4,68,2.1,R64,10
Boise St.,MWC,33,24,110.1,95.6,0.8361,51.6,47.5,16.6,17.5,27.2,24,30.3,27.6,50.6,48,35.6,31.2,66.3,2.1,R64,10
Utah St.,MWC,34,26,115.4,98,0.867,55.5,48.1,17.6,15.8,27.4,24.5,34.9,30.3,54.5,46.2,37.9,34.5,68.6,2.9,R64,10
Pittsburgh,ACC,36,24,113.1,101.6,0.7743,52.5,48.5,16.3,16.6,29.5,28.6,32.9,30.4,51.4,48.2,36,32.6,67.2,-0.3,R32,11
Providence,BE,33,21,114.9,101.2,0.8128,51.1,49.7,16.8,16.9,34.7,27.3,36.3,25.4,50.8,49.2,34.6,33.8,66.8,1.3,R64,11
North Carolina St.,ACC,34,23,113.6,99.2,0.8272,51.5,49.8,13.5,18.8,30.4,26.2,25.3,34,51.1,50.9,34.7,31.6,69.2,1.1,R64,11
Arizona St.,P12,36,23,108.4,95,0.8207,48.4,46.5,16.8,20.1,29.2,31.5,31.2,33.5,48.5,43.6,32.2,34.1,68.1,1.2,R64,11
Mississippi St.,SEC,34,21,103.4,91.8,0.7985,46.7,46.2,19.4,21.7,35.5,28.6,33.8,27.6,50.4,45.8,26.6,31.1,63.6,0.4,R68,11
Nevada,MWC,32,22,109.7,99.5,0.7542,50.7,49.8,15.3,18.5,22.8,24.9,39.1,31.8,50.2,50,34.4,33,65.9,0.7,R68,11
Drake,MVC,34,27,108.8,95.6,0.8155,52.9,46.9,15.5,17.5,23.8,22.4,28.4,27.4,51.9,46.9,36.4,31.3,66.3,-0.7,R64,12
VCU,A10,35,27,105.5,93.4,0.8026,52,46.9,19.6,23.9,28.9,30,41.6,31.1,51.9,46.4,34.8,31.9,67.9,1,R64,12
Oral Roberts,Sum,31,30,111.8,101.6,0.7487,55.4,48.6,13.3,17.4,24.5,27.7,24.2,21.7,55.9,46.8,36.5,34.3,70.2,1.6,R64,12
College of Charleston,CAA,34,31,109.4,97.7,0.7865,51.1,47.9,16.7,19.3,34.6,25.4,32.7,24.9,52.5,49.1,33,30.1,71,1.7,R64,12
Furman,SC,33,28,112.7,104.8,0.6984,55,50.7,15.7,18.2,28.9,27.3,34.8,31.9,58.3,51.5,34.1,32.7,68.2,-2,R32,13
Louisiana Lafayette,SB,31,26,110.8,101.6,0.7299,52.8,50.5,17.7,18.4,33.3,26.3,37,34.2,51.9,49.3,36.5,35.6,68.4,-0.5,R64,13
Iona,MAAC,35,27,110.3,98.3,0.7909,51.6,46.3,15.1,20.7,31.6,30.8,29,30.9,50.4,47.1,36.2,29.7,68.5,-1.7,R64,13
Kent St.,MAC,33,28,107,97,0.756,50.8,47.3,16.3,22.3,31.3,30.2,31.5,38.1,51.4,47.9,33.2,31,67.8,0.8,R64,13
Grand Canyon,WAC,33,24,111.3,106,0.6388,52.8,47.5,18.1,15.1,30.2,30.4,36.9,33.2,50.4,47.1,37.6,32.3,64.9,-3.8,R64,14
Montana St.,BSky,33,25,105.1,98.2,0.6871,51,49.8,17.8,20.1,25.7,25.4,44,35.1,52.6,48.8,31.8,34.6,66.3,-2.7,R64,14
Kennesaw St.,ASun,32,26,105.6,100.3,0.6428,52.7,51.1,17.8,19.5,27.3,25.4,35.9,36.8,51.2,50.6,36.8,34.5,68.4,-1.4,R64,14
UC Santa Barbara,BW,33,27,110,105.7,0.6126,54.1,50.1,17,18.5,26.3,26.1,34.4,29.2,54.8,49.3,34.8,34.6,64.4,-1.5,R64,14
Vermont,AE,33,23,109.7,102.5,0.6873,54.8,51,14.3,16.6,19.2,22.3,28.1,26.9,55.4,50.1,36,35.1,64.5,-3.8,R64,15
Colgate,Pat,34,26,112.5,106.1,0.6607,58.2,52.2,15,17.6,25,24.5,27.3,20.2,56.9,51.5,40.5,35.6,67.5,-3.7,R64,15
UNC Asheville,BSth,33,27,102.3,103.5,0.4657,53.6,48.3,20.1,17.8,25.7,29.1,40.9,26.8,51.1,49.5,38.6,30.6,68.2,-1.9,R64,15
Princeton,Ivy,30,23,109.1,101,0.7083,52.2,48.4,16.5,14.7,28.1,22.6,30.4,28.1,53.3,48.1,33.7,32.7,67,-3.2,S16,15
Fairleigh Dickinson,NEC,35,21,106.1,114.7,0.2909,51.3,54.7,16.3,21.1,30.9,29.3,28,33.9,51.1,55.8,34.3,35.3,68.6,-12.2,R32,16
Northern Kentucky,Horz,33,22,102.6,101.4,0.5349,49.1,51.3,17.3,23.3,31.6,33,26.9,30.5,47.4,49.3,34.3,36.4,61.9,-6.7,R64,16
Howard,MEAC,32,22,102.7,106.3,0.4031,51.8,50.9,22.8,20.6,33.7,31.9,32.2,33.9,49.8,51.1,36.9,33.8,69,-7.3,R64,16
Texas A&M Corpus Chris,Slnd,31,24,105.8,107.4,0.4566,50.5,52.6,17.7,20.4,32.8,27.8,34.8,38.2,48.3,54.1,36.4,33.8,68.9,-6,R64,16
Texas Southern,SWAC,33,14,95.4,105.4,0.2394,46.1,49.6,20.3,18.5,29.2,27.5,34.3,38.8,47.7,48.9,28,33.9,69.2,-13.5,R68,16
Southeast Missouri St.,OVC,34,19,99.4,107.8,0.2823,50.1,51.3,17.3,19,25,28.3,38.2,44.1,50.3,50.7,33.2,35,72,-11.7,R68,16
LIU Brooklyn,NEC,27,3,86.9,116.7,0.0328,45.6,55.1,22.7,16.7,24.7,30.3,31.7,32.1,44.8,54.6,32,37.4,72.5,-21.3,N/A,N/A
California,P12,32,3,95.8,103.6,0.2897,43.7,51.6,20.1,16,25.3,30.4,31.5,32.6,43.2,52.5,29.8,33.4,63.3,-16.7,N/A,N/A
Green Bay,Horz,32,3,90.8,114.2,0.0669,46,54.8,21.1,16.1,21.7,32.4,31.5,31.6,46.6,56.1,30.1,35,65.1,-23.1,N/A,N/A
Louisville,ACC,32,4,101.2,109.4,0.2915,48,54.1,22.3,15.2,28.2,30.1,32.9,30.6,47.3,54.9,32.9,35.2,66.5,-16.8,N/A,N/A
Hartford,ind,25,5,89.5,117.5,0.0418,47.7,55.4,22.7,17.6,25.2,33.5,24.1,27.7,47.4,53.8,32,38.7,65.4,-20,N/A,N/A
Tulsa,Amer,30,5,98.5,109.3,0.2321,47.9,53.6,19.1,17,24.9,33,26.7,27.8,48.6,57.9,31.3,31.3,68,-15.8,N/A,N/A
South Carolina St.,MEAC,30,5,97.7,114.7,0.136,46.9,57.7,20.9,21,34.2,34.5,29.2,43.5,47.3,56.8,30.8,39.5,71.7,-20.1,N/A,N/A
Presbyterian,BSth,30,5,93,108.9,0.1403,47.3,54,20.8,18.4,29.9,29.5,36.5,39.1,47.3,52,31.5,38.5,64.4,-22.4,N/A,N/A
Evansville,MVC,32,5,90.7,108.6,0.1124,45.1,55.8,17.6,18.9,20.7,25.5,29.4,30.1,43.4,54.8,32.2,38.1,69.5,-20.5,N/A,N/A
Mississippi Valley St.,SWAC,32,5,91.8,111.7,0.0951,45.4,53.3,23.4,19.5,28.7,32.4,38,39.8,42.8,53,34.9,35.8,67.1,-20.4,N/A,N/A
IUPUI,Horz,30,5,95.7,118,0.0826,49.7,55,23.2,16.7,29,31.9,32.2,36,51.7,54.6,29.8,37.2,67,-22.5,N/A,N/A
Delaware St.,MEAC,27,6,91,111.2,0.0913,45.7,54.4,23.5,19,30.1,29.4,29.3,37,45.1,50.6,31.4,39.5,67.5,-17.5,N/A,N/A
Columbia,Ivy,27,7,94.3,110,0.1444,45.5,52,19.9,17.6,25.3,30.9,28.1,28.8,45.4,53.2,30.4,33.1,69.7,-16.5,N/A,N/A
Florida A&M,SWAC,27,7,89.3,108.8,0.0931,45,51.1,24,18,27.6,33.6,31.4,44.6,43.2,51.8,32.1,33.2,64.9,-16.3,N/A,N/A
NJIT,AE,29,7,97.4,110.7,0.1867,48.3,52.3,16,14.9,23.4,29.1,28.2,27.9,46.1,53.2,35.2,34,66.2,-18.4,N/A,N/A
Georgetown,BE,32,7,103.5,106,0.4327,47.1,53.6,17.5,15.9,28.9,30,29.1,24.5,47.5,50.5,30.9,38.9,68.7,-12.4,N/A,N/A
Cal St. Northridge,BW,30,7,94.7,108.8,0.1686,44.1,50.4,19.6,18,27.3,30.5,36.6,39,42.8,49.6,31.2,34.6,65.1,-19.2,N/A,N/A
VMI,SC,29,7,97.2,117.4,0.1017,47.8,56.9,19.3,14.6,28.9,27.3,21,28.1,45,57.7,34.2,37.4,66.7,-20.1,N/A,N/A
Monmouth,CAA,33,7,91.7,109.5,0.115,43.8,54.4,21.1,21,30.3,32.9,33.1,38.8,44,53.4,28.8,37,68.3,-19,N/A,N/A
Eastern Michigan,MAC,30,8,100.4,113.4,0.1976,49.2,55.6,16.9,17.1,25.1,32.8,32.2,35,50.3,58.7,31.4,34.1,69.2,-17,N/A,N/A
Western Michigan,MAC,28,8,100.5,116,0.1611,48.8,54.8,19.1,14.4,33,27.6,27.8,33.1,49.3,54.4,32.1,37,65.5,-17,N/A,N/A
Albany,AE,29,8,97.4,115.6,0.1226,47.3,55.3,19.2,16.6,27.8,26.7,31,36.8,46.6,56.5,32.2,35.3,67.3,-17.5,N/A,N/A
Alabama St.,SWAC,30,8,91.5,110.8,0.0999,42.3,49.7,18.7,17.7,31.7,34.4,31.2,34.6,40.4,48.9,30.8,34.2,66.3,-17.2,N/A,N/A
Elon,CAA,30,8,97.6,110.3,0.1962,47.8,52.1,18.4,17.1,24.9,30.6,27.5,29,50.5,51.4,29.2,35.2,66,-19,N/A,N/A
Hampton,CAA,31,8,96.8,115.4,0.1179,45.1,53.9,16,15.7,26.5,30.3,32.1,35.3,43.4,52.2,32.1,37.9,68.7,-18.6,N/A,N/A
Cal Poly,BW,31,8,93.2,103.1,0.24,45.8,50.4,20.9,18.6,24.5,24.5,31,42.3,46.7,49.3,29.3,34.9,63.9,-18.5,N/A,N/A
New Mexico St.,WAC,21,9,103.7,106.4,0.4264,50.2,53.7,18.3,19.1,27,26.5,34.7,37,48.8,52.5,35.1,36.8,69,-8.9,N/A,N/A
Wyoming,MWC,30,9,106.7,105.3,0.536,51.6,53.4,18.2,16.4,24.2,25.3,33.4,28.9,51.3,52.6,34.7,36.4,65.5,-11.7,N/A,N/A
Pepperdine,WCC,29,9,104.1,105.8,0.4555,52,52.5,18.3,16.6,25.9,30.5,26.8,32.6,51.6,51.6,35.1,36.2,72.1,-13,N/A,N/A
Minnesota,B10,31,9,102.3,104.9,0.426,49,50.5,19.6,14.8,25,30.8,30.8,24.8,49.2,49.1,32.5,35.9,65.6,-9.8,N/A,N/A
Rhode Island,A10,31,9,97.1,102.7,0.3421,44.2,49.1,20.4,17.2,31.6,29.5,37,31.7,43.6,49.6,30.4,32.1,67.1,-15.9,N/A,N/A
Central Arkansas,ASun,30,9,97.7,112,0.1716,47.1,54.7,18.1,16.7,27.9,30.5,24.3,28.9,46.8,54.8,31.6,36.3,72.2,-15.9,N/A,N/A
Austin Peay,ASun,28,9,95.7,110.5,0.1614,46.3,54.7,17.4,19.5,26,31.9,26.1,37,46,56.4,31.2,34.4,64.7,-16,N/A,N/A
Eastern Illinois,OVC,29,9,92.9,111.2,0.1131,48,52.2,19.2,19.7,25.3,32.2,32.4,32.5,47.7,52.4,32.6,34.6,67.9,-18,N/A,N/A
Lamar,Slnd,28,9,94.1,114.5,0.0955,47.6,53,21.2,17.1,31.9,33.5,32.2,30.8,47.5,54.5,31.9,34.1,65.7,-18.5,N/A,N/A
Florida St.,ACC,32,9,104,106.6,0.4299,49.3,53.1,17.6,17.1,25.9,31.5,30.4,30.9,49.2,50.8,33,37.6,68.7,-11.9,N/A,N/A
Nebraska Omaha,Sum,31,9,98.6,112.2,0.1847,48.5,53.2,18.5,15.8,24.2,28.9,29.6,33.4,47.7,52,33.7,36.5,67.8,-16,N/A,N/A
Coppin St.,MEAC,32,9,97.8,114.7,0.1377,51,53.2,20.1,18.5,18.6,35.7,37.2,34.2,51.4,55,33.7,33.8,71.8,-16.4,N/A,N/A
Dartmouth,Ivy,26,10,99.3,106.8,0.3011,50,51.3,20.2,16.5,23.5,26.2,29.1,31.7,50.8,51.6,32.6,34,68.6,-12.9,N/A,N/A
UC San Diego,BW,28,10,102.9,108.1,0.3615,49.6,51.8,17.9,16.5,23.2,29.3,26.1,27.9,49.6,49.7,33,37.1,65.9,-14.3,N/A,N/A
Canisius,MAAC,29,10,101.1,107.4,0.3348,48.6,52.8,17.5,18.7,28.4,29.9,24.9,27.7,47.4,52,33.6,36.4,67.5,-15,N/A,N/A
Northeastern,CAA,30,10,97,107.9,0.2281,47.9,50.1,21.3,14.5,31.7,26.9,27.7,31.7,46.8,49.2,33.2,34.9,66.8,-14.4,N/A,N/A
Loyola Chicago,A10,31,10,101.7,106.3,0.3745,52.9,51.6,22.1,17.9,24.5,28.5,31.1,37.5,54.8,51.7,33.4,34.4,66,-13.9,N/A,N/A
Georgia St.,SB,28,10,97.1,107.4,0.2376,45.6,50.7,19.5,17.5,30.1,29.5,33.5,35.4,46.5,48.6,29,36.5,66.8,-15.7,N/A,N/A
Charleston Southern,BSth,29,10,103.7,115.2,0.23,50.3,54.3,18.1,16.7,32.2,31,27.4,36.6,49.7,54.3,34.1,36.2,65.5,-16.1,N/A,N/A
Arkansas Pine Bluff,SWAC,27,10,94.1,107,0.1858,45.2,51.4,21.6,21.4,26.6,29,33.8,43.2,44,51.1,31.1,34.5,69.6,-15.4,N/A,N/A
Little Rock,OVC,29,10,100.7,115.4,0.1728,49.2,56.1,18,19.2,29.3,30.4,31.9,37,49.4,54.1,32.5,39.5,70.8,-16.7,N/A,N/A
Central Michigan,MAC,29,10,92,108.1,0.1355,46.5,51.9,22.9,19.2,30.5,32.5,36.9,41,47.4,50.9,30,35.6,67.2,-15.3,N/A,N/A
SMU,Amer,32,10,103.2,102.5,0.5206,47.4,51.8,18,18.7,28.1,30.5,33,32.8,47.8,51.4,31.1,34.9,69.3,-10.5,N/A,N/A
UTSA,CUSA,30,10,102.1,109.5,0.3075,47.4,52.5,19.5,15.4,28.5,31.2,37.4,30.6,45.3,51.9,33.8,35.6,69,-14,N/A,N/A
Idaho,BSky,30,10,100.6,112.7,0.2143,52,54.3,17.2,16.1,19.6,27.8,35.8,31.6,54.2,52.6,32,38.7,65.8,-17.6,N/A,N/A
The Citadel,SC,31,10,96.4,111.7,0.1544,49.3,52.4,18.2,16.9,20.8,31.7,28.9,33.9,49.6,53.5,32.5,33.9,67.1,-16.2,N/A,N/A
Holy Cross,Pat,30,10,93.5,110,0.133,48.5,51.8,17.5,17.4,21.5,30.1,25.5,27.8,46.5,53.9,35.3,31.9,68.9,-18.2,N/A,N/A
Central Connecticut,NEC,32,10,96.4,113.5,0.1322,48.1,51.3,17.9,16.4,28.5,28.2,23.3,26.5,47.5,50.2,32.7,35.4,64.3,-18.5,N/A,N/A
Houston Christian,Slnd,29,10,100.5,120.2,0.1142,51.4,57.5,21.1,16.7,28,31.6,40.6,33.3,49.5,57.9,36.1,37.8,70.6,-17.9,N/A,N/A
DePaul,BE,33,10,106.7,104.3,0.5658,49.7,51.6,18.2,17.7,25.8,34.1,27.6,35.7,46.3,51.1,36.8,35,68.7,-8.8,N/A,N/A
Fresno St.,MWC,30,11,103.2,100.2,0.5827,49.3,51.2,18.1,19.7,24.9,28.2,24.3,32.1,51.1,48.3,31.1,37.3,64,-10.2,N/A,N/A
San Diego,WCC,29,11,108.9,112.7,0.4022,51.1,58.2,16,17.3,27.9,29.7,30.9,33.4,50.4,55.9,34.8,41,68.6,-12.1,N/A,N/A
Bowling Green,MAC,29,11,102.3,111.7,0.266,50.5,54.1,17.5,16.3,29.8,28,32.5,33.6,50.4,53.8,33.8,36.4,69.5,-15.3,N/A,N/A
Coastal Carolina,SB,28,11,103.2,114,0.2411,47.5,53.1,17.8,15.5,30.3,30.7,28.9,29.3,48.4,51.3,30.6,36.7,67.9,-14.8,N/A,N/A
Chicago St.,ind,27,11,101.3,113.1,0.2198,48.8,53.3,21.3,16.7,33.5,33.2,31.9,35.9,48.4,53.1,32.9,35.7,64.8,-12.9,N/A,N/A
Notre Dame,ACC,32,11,108.5,105.8,0.5743,52,52.1,13.4,13.6,19.6,26.5,23.3,26.5,50.6,52.4,35.8,34.3,64.7,-11.6,N/A,N/A
South Carolina,SEC,32,11,102.9,106.2,0.4086,46.9,52.6,19.9,15.9,32.7,32.5,26.8,29.4,45.8,53.7,32.3,33.8,64.2,-9.7,N/A,N/A
Oregon St.,P12,31,11,98.5,101.9,0.4038,46.5,49.6,20.8,18.2,25.3,30.6,33.9,33.9,45.7,49.1,31.9,33.7,63.5,-9.3,N/A,N/A
UT Arlington,WAC,29,11,99.4,104.2,0.3683,45.9,51.9,21.1,20.1,32.7,30.8,29.7,39.5,44.9,49.6,31.9,37.1,65.7,-13.4,N/A,N/A
Idaho St.,BSky,30,11,101.1,107.6,0.3298,50.8,51.4,17.2,17.8,24.6,27.2,28.9,35.5,51.3,52.6,33.3,32.5,65.1,-15.5,N/A,N/A
Louisiana Monroe,SB,29,11,96.9,105.5,0.2741,45.2,51.7,18.7,17.6,27.3,29.9,30,28.6,41.6,50.3,34.2,36,66,-13.8,N/A,N/A
Valparaiso,MVC,31,11,97,107,0.2436,49,51.5,18.1,15.6,22.5,24.5,27.9,31.8,51.9,51.6,29.2,34.3,67.9,-15,N/A,N/A
Illinois St.,MVC,32,11,98.9,109.5,0.2371,50.2,51.8,21.8,16.7,28.2,26.7,31.3,34,50,52.6,33.6,33.7,64.9,-16,N/A,N/A
UMKC,Sum,30,11,93.9,108.4,0.1612,43.4,50.1,19.9,17.3,35.9,29.4,33.3,39.4,44.7,48.9,27.3,34.6,63.8,-15.4,N/A,N/A
Lindenwood,OVC,29,11,95.2,112.3,0.13,48.8,52.4,19.5,17.8,23,31,28.3,31.1,45.7,52,36.2,35.2,67,-16.6,N/A,N/A
Cal St. Bakersfield,BW,31,11,94.1,104.3,0.2331,44.6,51.1,19.8,20.5,27.2,28.4,29.4,43.6,43.7,50.2,31.5,34.9,62.9,-15.9,N/A,N/A
Stony Brook,CAA,31,11,94.6,109.9,0.1525,47.5,50.3,19.6,14,21.9,27.4,29.4,26.2,48.1,50,31.1,33.8,63.8,-16.1,N/A,N/A
Lafayette,Pat,34,11,94.7,102.4,0.2879,48.7,50.8,17.9,18.2,23.8,25.3,24.5,29.4,48.4,50.6,32.7,34.1,62.9,-16.6,N/A,N/A
McNeese St.,Slnd,33,11,98.3,113,0.1674,49,55,21.6,18.4,33.3,30.9,29.2,34.9,49.2,52.1,32.4,39.7,66.1,-16.7,N/A,N/A
Manhattan,MAAC,29,12,96.4,108.7,0.2013,49.2,51.3,19.8,20.5,26.6,34.2,31.5,30.5,49.1,49.1,32.9,36.8,66.9,-13.6,N/A,N/A
Portland St.,BSky,29,12,102.4,107.5,0.3638,49.6,55,16.8,21.3,24,31.4,34.8,46.6,49.7,55,33,36.8,72.3,-12.9,N/A,N/A
South Dakota,Sum,29,12,101.6,113.3,0.2226,50.1,52.7,17.3,14.4,24.9,27.1,28.1,31.8,45.5,51.8,37.9,36.1,65.8,-13.9,N/A,N/A
Incarnate Word,Slnd,28,12,96.1,111.2,0.158,48.5,54.4,20,20.5,26.3,33.2,33.3,32.7,47.3,53.9,34.1,36.8,66.8,-15.5,N/A,N/A
Northern Colorado,BSky,31,12,105.8,110.9,0.3693,52.4,53.1,17.5,14,24.3,27,31.4,31.7,51,54.5,36.4,33.4,69.5,-12.9,N/A,N/A
East Tennessee St.,SC,30,12,100.2,107,0.3197,50.5,50.8,19.5,17.5,29.9,28.9,31.2,26.9,51.8,51.8,32.1,32.9,65.8,-15.3,N/A,N/A
Miami OH,MAC,29,12,102.2,110.9,0.2801,52,53.8,19.6,17.8,26.6,32.6,32.1,37.1,53.8,54.1,32.9,35.4,66.7,-14.4,N/A,N/A
Illinois Chicago,MVC,31,12,98,107.4,0.2578,48.7,51.2,18.3,19.6,22.7,30.3,34.1,33,47.9,51.1,33.2,34.3,68.9,-14.2,N/A,N/A
Bucknell,Pat,31,12,98.7,108.8,0.2458,51.3,51.2,20.2,15.4,25.4,25,26.9,27.7,51.1,49.4,34.5,36.4,66.6,-16.1,N/A,N/A
New Orleans,Slnd,30,12,97.9,111.8,0.1783,52.7,54.1,23.6,20.2,29.8,32.7,36.5,39.9,51.1,54.1,37.9,36.2,71,-15.7,N/A,N/A
Bethune Cookman,SWAC,30,12,96.1,114.5,0.118,46.6,52.7,18.3,19.3,26.9,34.7,32.1,35.2,43.1,52.1,35.8,35.8,68.7,-15.8,N/A,N/A
Mississippi,SEC,33,12,106.2,100.8,0.6459,47.5,49.5,18.3,18,33.3,29.9,29.2,30.3,48.6,48.9,30.3,33.8,66,-8.5,N/A,N/A
Northern Arizona,BSky,33,12,106.8,110.3,0.4093,50.5,55.3,15.9,17.2,26.9,25.7,27.4,38.7,48.6,55.7,35.7,36.5,66.7,-15.1,N/A,N/A
Jacksonville,ASun,26,13,99.9,104.2,0.3819,50.6,49.8,19.1,14.3,23.9,25.7,22.8,27,51,51.4,33.3,32.1,60.9,-10.2,N/A,N/A
